round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.569945076303912e-05,0.8942679315166663,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003452441906643602,0.05453527877850427,0.034763116230125055,0.7809928815030424,0.10573206848333364,7.31310182744784,,,,,
1,val,0.001097397156592311,0.7083619228795752,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0644488903601054,0.17158109188990486,0.1574279711817083,-2.583166452043726,0.29541263982368204,,0.00010392395779490471,0.00010392395779490471,,,
2,train,3.741812365724015e-05,0.910220380534634,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0023631084743410795,0.04363628992248049,0.02871450500860591,0.8540489814284102,0.08977961946536588,7.066204920769894,,,,,
2,val,0.0007537990379775087,0.793321930197144,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.043987765321524624,0.11865259068622819,0.09976729679972039,-1.2508040451807751,0.20667806980285597,,8.006300777196884e-05,8.006300777196884e-05,,,
3,train,2.9125260893572662e-05,0.9233970077787528,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0018239128854618664,0.03440974172005967,0.02224540373717951,0.8951268082895688,0.07660299222124736,6.7280716401089755,,,,,
3,val,0.0006442043418994275,0.7959467159936311,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03761660980584358,0.11617271935663233,0.09961531022265288,-1.03900532852563,0.20405328400636907,,9.229290299117565e-05,9.229290299117565e-05,,,
4,train,2.3330902919164422e-05,0.9346291980739728,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014688828058311177,0.02988223827761359,0.01908882173730382,0.9143930798534741,0.06537080192602714,6.941521364399864,,,,,
4,val,0.0006040347421789245,0.7894527574229993,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03531108715420662,0.11466455757304281,0.09856511162083556,-0.9485821292278873,0.21054724257700075,,0.0001313157845288515,0.0001313157845288515,,,
5,train,2.245910990189548e-05,0.935564007470013,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013982816565204575,0.02861154950078886,0.01783323961337675,0.9189235976928225,0.06443599252998712,6.932057142360938,,,,,
5,val,0.0005552959030298756,0.7873293795738368,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.032570002119560654,0.10892331054601129,0.09264656392214456,-0.7997702838507434,0.21267062042616322,,7.434305734932423e-05,7.434305734932423e-05,,,
