2026-05-05 21:18:24,844 INFO    MainThread:3874226 [wandb_setup.py:_flush():81] Current SDK version is 0.24.2
2026-05-05 21:18:24,845 INFO    MainThread:3874226 [wandb_setup.py:_flush():81] Configure stats pid to 3874226
2026-05-05 21:18:24,845 INFO    MainThread:3874226 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-05 21:18:24,845 INFO    MainThread:3874226 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/saber/Federated-Time-Series-Forecasting/experiments/H4-sequence-pattern-alignment/wandb/run-20260505_211824-bw5bb6wd/logs/debug.log
2026-05-05 21:18:24,845 INFO    MainThread:3874226 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/saber/Federated-Time-Series-Forecasting/experiments/H4-sequence-pattern-alignment/wandb/run-20260505_211824-bw5bb6wd/logs/debug-internal.log
2026-05-05 21:18:24,845 INFO    MainThread:3874226 [wandb_init.py:init():844] calling init triggers
2026-05-05 21:18:24,845 INFO    MainThread:3874226 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-05-05 21:18:24,845 INFO    MainThread:3874226 [wandb_init.py:init():892] starting backend
2026-05-05 21:18:25,106 INFO    MainThread:3874226 [wandb_init.py:init():895] sending inform_init request
2026-05-05 21:18:25,126 INFO    MainThread:3874226 [wandb_init.py:init():903] backend started and connected
2026-05-05 21:18:25,145 INFO    MainThread:3874226 [wandb_init.py:init():973] updated telemetry
2026-05-05 21:18:25,168 INFO    MainThread:3874226 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-05-05 21:18:26,114 INFO    MainThread:3874226 [wandb_init.py:init():1042] starting run threads in backend
2026-05-05 21:18:26,218 INFO    MainThread:3874226 [wandb_run.py:_console_start():2529] atexit reg
2026-05-05 21:18:26,218 INFO    MainThread:3874226 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-05-05 21:18:26,218 INFO    MainThread:3874226 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-05-05 21:18:26,218 INFO    MainThread:3874226 [wandb_run.py:_redirect():2469] Redirects installed.
2026-05-05 21:18:26,222 INFO    MainThread:3874226 [wandb_init.py:init():1082] run started, returning control to user process
2026-05-05 21:18:26,222 INFO    MainThread:3874226 [wandb_run.py:_config_callback():1404] config_cb None None {'cid': '12166-0', 'model_name': 'lstm', 'local_num_layers': 3, 'global_num_layers': 3, 'spa_hfl': False}
2026-05-05 21:24:55,652 INFO    MainThread:3874226 [wandb_run.py:_finish():2295] finishing run slife2026-university-of-hong-kong/federated-time-series-forecasting/bw5bb6wd
2026-05-05 21:24:55,652 INFO    MainThread:3874226 [wandb_run.py:_atexit_cleanup():2494] got exitcode: 0
2026-05-05 21:24:55,653 INFO    MainThread:3874226 [wandb_run.py:_restore():2476] restore
2026-05-05 21:24:55,653 INFO    MainThread:3874226 [wandb_run.py:_restore():2482] restore done
2026-05-05 21:24:57,426 INFO    MainThread:3874226 [wandb_run.py:_footer_sync_info():3871] logging synced files
