2026-05-06 13:11:41,590 INFO    MainThread:266294 [wandb_setup.py:_flush():81] Current SDK version is 0.24.2
2026-05-06 13:11:41,591 INFO    MainThread:266294 [wandb_setup.py:_flush():81] Configure stats pid to 266294
2026-05-06 13:11:41,591 INFO    MainThread:266294 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-06 13:11:41,591 INFO    MainThread:266294 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/saber/Federated-Time-Series-Forecasting/experiments/H4-sequence-pattern-alignment/wandb/run-20260506_131141-nu5u7arq/logs/debug.log
2026-05-06 13:11:41,591 INFO    MainThread:266294 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/saber/Federated-Time-Series-Forecasting/experiments/H4-sequence-pattern-alignment/wandb/run-20260506_131141-nu5u7arq/logs/debug-internal.log
2026-05-06 13:11:41,591 INFO    MainThread:266294 [wandb_init.py:init():844] calling init triggers
2026-05-06 13:11:41,591 INFO    MainThread:266294 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-05-06 13:11:41,591 INFO    MainThread:266294 [wandb_init.py:init():892] starting backend
2026-05-06 13:11:41,857 INFO    MainThread:266294 [wandb_init.py:init():895] sending inform_init request
2026-05-06 13:11:41,878 INFO    MainThread:266294 [wandb_init.py:init():903] backend started and connected
2026-05-06 13:11:41,894 INFO    MainThread:266294 [wandb_init.py:init():973] updated telemetry
2026-05-06 13:11:41,919 INFO    MainThread:266294 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-05-06 13:11:42,910 INFO    MainThread:266294 [wandb_init.py:init():1042] starting run threads in backend
2026-05-06 13:11:42,995 INFO    MainThread:266294 [wandb_run.py:_console_start():2529] atexit reg
2026-05-06 13:11:42,995 INFO    MainThread:266294 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-05-06 13:11:42,995 INFO    MainThread:266294 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-05-06 13:11:42,995 INFO    MainThread:266294 [wandb_run.py:_redirect():2469] Redirects installed.
2026-05-06 13:11:42,999 INFO    MainThread:266294 [wandb_init.py:init():1082] run started, returning control to user process
2026-05-06 13:11:42,999 INFO    MainThread:266294 [wandb_run.py:_config_callback():1404] config_cb None None {'cid': '12163-0', 'model_name': 'lstm', 'local_num_layers': 1, 'global_num_layers': 3, 'spa_hfl': False}
2026-05-06 13:35:39,056 INFO    MainThread:266294 [wandb_run.py:_finish():2295] finishing run slife2026-university-of-hong-kong/federated-time-series-forecasting/nu5u7arq
2026-05-06 13:35:39,056 INFO    MainThread:266294 [wandb_run.py:_atexit_cleanup():2494] got exitcode: 0
2026-05-06 13:35:39,057 INFO    MainThread:266294 [wandb_run.py:_restore():2476] restore
2026-05-06 13:35:39,057 INFO    MainThread:266294 [wandb_run.py:_restore():2482] restore done
2026-05-06 13:35:40,864 INFO    MainThread:266294 [wandb_run.py:_footer_sync_info():3871] logging synced files
