station,t,price,load,renewable_available,renewable_to_load,renewable_to_battery,grid_energy,grid_to_battery,discharge,soc_end,curtailed_renewable,mode,grid_cost,curtailment_cost,slot_cost,groundtruth_load,shortage_penalty_rate,surplus_penalty_rate,diff,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,realized_slot_cost
12162-0,0,35.72,94.975464,0.0,0.0,0.0,94.975464,0.0,0.0,20.0,0.0,0,3392.52357408,0.0,3392.52357408,97.39032108940748,893.0,300.0,-2.4148570894074766,2156.4673808408766,0.0,2156.4673808408766,5548.990954920877
12162-0,1,35.72,94.67899,0.0,0.0,0.0,94.67899,0.0,0.0,20.0,0.0,0,3381.9335228,0.0,3381.9335228,97.48128918145964,893.0,300.0,-2.802299181459645,2502.4531690434633,0.0,2502.4531690434633,5884.386691843463
12162-0,2,35.49,94.91624,0.0,0.0,0.0,94.91624,0.0,0.0,20.0,0.0,0,3368.5773576,0.0,3368.5773576,97.52472439658364,887.25,300.0,-2.608484396583634,2314.3777808688296,0.0,2314.3777808688296,5682.955138468829
12162-0,3,35.49,94.788185,0.0,0.0,0.0,94.788185,0.0,0.0,20.0,0.0,0,3364.03268565,0.0,3364.03268565,97.50855159974144,887.25,300.0,-2.720366599741439,2413.6452656205915,0.0,2413.6452656205915,5777.677951270592
12162-0,4,35.07,95.200424,0.0,0.0,0.0,96.5162134736842,1.3157894736842106,0.0,21.25,0.0,1,3384.823606522105,0.0,3384.823606522105,97.49824001535326,876.75,300.0,-2.2978160153532627,2014.610191460973,0.0,2014.610191460973,5399.433797983078
12162-0,5,35.07,94.87044,0.0,0.0,0.0,99.87044,5.0,0.0,26.0,0.0,1,3502.4563308,0.0,3502.4563308,97.53010841297947,876.75,300.0,-2.659668412979471,2331.864281079751,0.0,2331.864281079751,5834.320611879752
12162-0,6,31.5,95.05496,0.0,0.0,0.0,100.05496,5.0,0.0,30.75,0.0,1,3151.7312399999996,0.0,3151.7312399999996,97.45121545596535,787.5,300.0,-2.3962554559653597,1887.0511715727207,0.0,1887.0511715727207,5038.78241157272
12162-0,7,31.5,95.14674,0.0,0.0,0.0,100.14674,5.0,0.0,35.5,0.0,1,3154.6223099999997,0.0,3154.6223099999997,97.50915328172786,787.5,300.0,-2.362413281727868,1860.400459360696,0.0,1860.400459360696,5015.022769360696
12162-0,8,30.27,95.13822,0.0,0.0,0.0,100.13822,5.0,0.0,40.25,0.0,1,3031.1839194,0.0,3031.1839194,97.48210871382048,756.75,300.0,-2.3438887138204763,1773.7377841836453,0.0,1773.7377841836453,4804.9217035836455
12162-0,9,30.27,95.038506,0.0,0.0,0.0,100.038506,5.0,0.0,45.0,0.0,1,3028.1655766199997,0.0,3028.1655766199997,97.50569879721957,756.75,300.0,-2.4671927972195675,1867.0481492959077,0.0,1867.0481492959077,4895.213725915907
12162-0,10,35.31,95.02709,0.0,0.0,0.0,95.02709,0.0,0.0,45.0,0.0,0,3355.4065479,0.0,3355.4065479,97.47337395118984,882.75,300.0,-2.446283951189841,2159.457157912832,0.0,2159.457157912832,5514.8637058128315
12162-0,11,35.31,95.21007,0.0,0.0,0.0,95.21007,0.0,0.0,45.0,0.0,0,3361.8675717,0.0,3361.8675717,97.52449617238187,882.75,300.0,-2.3144261723818715,2043.0597036700972,0.0,2043.0597036700972,5404.927275370097
12162-0,12,42.4,94.87007,0.0,0.0,0.0,94.87007,0.0,0.0,45.0,0.0,0,4022.4909679999996,0.0,4022.4909679999996,97.45709741607412,1060.0,300.0,-2.587027416074122,2742.249061038569,0.0,2742.249061038569,6764.7400290385685
12162-0,13,42.4,94.79758,0.0,0.0,0.0,94.79758,0.0,0.0,45.0,0.0,0,4019.417392,0.0,4019.417392,97.56459101509846,1060.0,300.0,-2.7670110150984613,2933.031676004369,0.0,2933.031676004369,6952.449068004369
12162-0,14,41.16,95.01506,0.186,0.186,0.0,94.82906,0.0,0.0,45.0,0.0,0,3903.1641095999994,0.0,3903.1641095999994,97.5233861728552,1029.0,300.0,-2.5083261728551918,2581.0676318679925,0.0,2581.0676318679925,6484.231741467992
12162-0,15,41.16,95.37261,0.186,0.186,0.0,95.18660999999999,0.0,0.0,45.0,0.0,0,3917.880867599999,0.0,3917.880867599999,97.40154557060264,1029.0,300.0,-2.0289355706026413,2087.7747021501177,0.0,2087.7747021501177,6005.655569750117
12162-0,16,51.64,94.97218,0.454,0.454,0.0,94.51818,0.0,0.0,45.0,0.0,0,4880.9188152,0.0,4880.9188152,98.37782646272586,1291.0,300.0,-3.405646462725869,4396.689583379097,0.0,4396.689583379097,9277.608398579097
12162-0,17,51.64,94.98478,0.454,0.454,0.0,94.53078000000001,0.0,0.0,45.0,0.0,0,4881.5694792,0.0,4881.5694792,98.35418451019,1291.0,300.0,-3.3694045101899945,4349.901222655283,0.0,4349.901222655283,9231.470701855284
12162-0,18,56.84,94.95534,0.637,0.637,0.0,89.31834,0.0,5.0,39.73684210526316,0.0,0,5076.854445600001,0.0,5076.854445600001,98.50656566016768,1421.0,300.0,-3.551225660167674,5046.2916630982645,0.0,5046.2916630982645,10123.146108698265
12162-0,19,56.84,95.239586,0.637,0.637,0.0,89.602586,0.0,5.0,34.473684210526315,0.0,0,5093.01098824,0.0,5093.01098824,98.4002754251162,1421.0,300.0,-3.160689425116203,4491.339673090125,0.0,4491.339673090125,9584.350661330125
12162-0,20,54.51,95.522224,0.744,0.744,0.0,89.778224,0.0,5.0,29.210526315789473,0.0,0,4893.810990239999,0.0,4893.810990239999,98.57860151730192,1362.75,300.0,-3.056377517301925,4165.078461703199,0.0,4165.078461703199,9058.889451943198
12162-0,21,54.51,95.25847,0.744,0.744,0.0,89.51447,0.0,5.0,23.94736842105263,0.0,0,4879.4337597,0.0,4879.4337597,98.40493327359738,1362.75,300.0,-3.1464632735973765,4287.842826094825,0.0,4287.842826094825,9167.276585794825
12162-0,22,51.65,95.43701,0.791,0.791,0.0,92.57101,0.0,2.0749999999999984,21.763157894736842,0.0,0,4781.2926664999995,0.0,4781.2926664999995,98.49678314097449,1291.25,300.0,-3.0597731409744853,3950.932068283304,0.0,3950.932068283304,8732.224734783304
12162-0,23,51.65,95.60257,0.791,0.791,0.0,89.81157,0.0,5.0,16.5,0.0,0,4638.7675905,0.0,4638.7675905,98.4788467934824,1291.25,300.0,-2.876276793482404,3713.9924095841543,0.0,3713.9924095841543,8352.760000084154
12162-0,24,46.87,95.47869,0.78,0.78,0.0,94.69869,0.0,0.0,16.5,0.0,0,4438.5276003,0.0,4438.5276003,98.59242982916253,1171.75,300.0,-3.113739829162526,3648.5246448211897,0.0,3648.5246448211897,8087.052245121189
12162-0,25,46.87,94.90243,0.78,0.78,0.0,94.12243,0.0,0.0,16.5,0.0,0,4411.518294099999,0.0,4411.518294099999,98.35734852753248,1171.75,300.0,-3.4549185275324845,4048.300784636189,0.0,4048.300784636189,8459.81907873619
12162-0,26,37.61,95.3226,0.71,0.71,0.0,99.6126,5.0,0.0,21.25,0.0,1,3746.429886,0.0,3746.429886,98.37322048338146,940.25,300.0,-3.050620483381465,2868.3459094994223,0.0,2868.3459094994223,6614.775795499422
12162-0,27,37.61,95.43621,0.71,0.71,0.0,99.72621000000001,5.0,0.0,26.0,0.0,1,3750.7027581,0.0,3750.7027581,98.40270290071663,940.25,300.0,-2.9664929007166307,2789.244949898812,0.0,2789.244949898812,6539.947707998812
12162-0,28,36.81,95.51332,0.575,0.575,0.0,99.93831999999999,5.0,0.0,30.75,0.0,1,3678.7295592,0.0,3678.7295592,98.43117905679864,920.25,300.0,-2.9178590567986475,2685.1597970189555,0.0,2685.1597970189555,6363.889356218955
