12162-0,12163-0,12164-0,12165-0,12166-0,12167-0
94.975464,159.39871,108.03096,137.62057,97.08747,247.26103
94.67899,158.3139,108.09935,138.40388,96.67367,246.48633
94.91624,159.19756,108.08466,138.38622,96.65306,246.74066
94.788185,158.6121,108.034195,138.82738,96.62404,246.34238
95.200424,159.2878,108.51163,138.13466,96.14935,247.2468
94.87044,158.67232,108.51743,138.19156,96.095436,247.61812
95.05496,158.7675,108.3617,138.16542,95.68862,246.71124
95.14674,158.91913,108.268684,138.32944,95.40608,246.1735
95.13822,159.35289,108.4249,137.62444,95.43235,245.44865
95.038506,159.3187,108.572464,137.77016,91.79588,245.48781
95.02709,158.72414,108.38101,137.38936,95.75089,238.64156
95.21007,159.04875,108.29551,137.93787,95.96372,247.00398
94.87007,158.59132,108.38697,137.39206,96.73665,247.31772
94.79758,158.49583,108.40029,137.77673,96.89449,248.08931
95.01506,158.36702,108.25524,137.40532,96.98513,248.66441
95.37261,158.9862,108.10347,138.01894,97.08693,248.58157
94.97218,159.00484,108.321724,137.59065,97.15076,248.67972
94.98478,158.7453,108.48737,138.10922,97.26893,248.72758
94.95534,158.6629,108.41484,138.2093,97.120964,248.70088
95.239586,158.99312,108.340996,138.46117,97.04989,248.45938
95.522224,159.28319,108.70754,138.47493,97.17261,248.60687
95.25847,158.6958,108.74296,138.19945,97.31434,248.83604
95.43701,158.6125,108.44367,138.17429,97.52383,248.76643
95.60257,159.1776,108.37091,138.11218,97.64751,249.13272
95.47869,159.58093,108.781525,137.5064,97.66475,249.354
94.90243,158.6621,108.81288,137.2836,97.572235,248.77863
95.3226,158.68227,108.744835,137.1076,97.56368,248.80037
95.43621,159.29146,108.504875,137.8073,97.308586,248.83362
95.51332,159.707,108.72504,137.36977,97.62066,249.11243
94.869095,158.77612,108.85479,137.81392,97.433304,249.19179
95.40264,158.90022,108.70003,137.36655,97.3608,249.028
95.2869,159.37949,108.52038,137.8529,97.30289,249.08647
95.359436,159.75496,108.62233,137.09596,97.5215,248.52223
94.837746,158.82,108.778694,137.19487,97.694786,248.94682
95.24547,159.08754,108.587006,136.82242,97.60863,249.27611
94.99298,159.58011,108.478294,137.2168,97.518776,249.10902
95.19524,159.89265,108.56103,137.15924,97.58236,248.95786
94.80594,158.98082,108.68975,137.44136,97.609116,248.84915
95.1109,159.28145,108.50071,137.16751,97.63083,248.80382
94.794685,159.69666,108.3793,137.53305,97.65979,249.16656
95.16843,159.33698,108.62058,137.2497,97.65727,249.38245
94.8177,158.60365,108.73696,137.51186,97.6362,249.24763
95.08031,158.85118,108.53467,137.30408,97.64708,249.26929
94.9898,158.85635,108.459305,137.61,97.6092,248.85143
95.21868,159.12845,108.44421,137.36781,97.733665,248.78136
94.81657,158.34229,108.61552,137.80615,97.61785,248.88748
95.1167,158.71562,108.483734,137.81648,97.628044,249.33452
94.99878,158.59737,108.33166,138.41022,97.47333,248.92262
