station,t,price,load,renewable_available,renewable_to_load,renewable_to_battery,grid_energy,grid_to_battery,discharge,soc_end,curtailed_renewable,mode,grid_cost,curtailment_cost,slot_cost,groundtruth_load,shortage_penalty_rate,surplus_penalty_rate,diff,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,realized_slot_cost
12162-0,0,35.72,95.54633,0.0,0.0,0.0,95.54633,0.0,0.0,20.0,0.0,0,3412.9149076,0.0,3412.9149076,97.39032108940748,893.0,300.0,-1.8439910894074814,1646.684042840881,0.0,1646.684042840881,5059.598950440881
12162-0,1,35.72,95.70749,0.0,0.0,0.0,95.70749,0.0,0.0,20.0,0.0,0,3418.6715428,0.0,3418.6715428,97.48128918145964,893.0,300.0,-1.773799181459637,1584.0026690434559,0.0,1584.0026690434559,5002.674211843456
12162-0,2,35.49,95.473206,0.0,0.0,0.0,95.473206,0.0,0.0,20.0,0.0,0,3388.3440809400004,0.0,3388.3440809400004,97.52472439658364,887.25,300.0,-2.0515183965836314,1820.209697368827,0.0,1820.209697368827,5208.5537783088275
12162-0,3,35.49,95.77519,0.0,0.0,0.0,95.77519,0.0,0.0,20.0,0.0,0,3399.0614931,0.0,3399.0614931,97.50855159974144,887.25,300.0,-1.7333615997414427,1537.925079370595,0.0,1537.925079370595,4936.986572470595
12162-0,4,35.07,95.82151,0.0,0.0,0.0,97.13729947368421,1.3157894736842106,0.0,21.25,0.0,1,3406.605092542105,0.0,3406.605092542105,97.49824001535326,876.75,300.0,-1.6767300153532574,1470.0730409609685,0.0,1470.0730409609685,4876.678133503074
12162-0,5,35.07,95.904045,0.0,0.0,0.0,100.904045,5.0,0.0,26.0,0.0,1,3538.70485815,0.0,3538.70485815,97.53010841297947,876.75,300.0,-1.6260634129794767,1425.651097329756,0.0,1425.651097329756,4964.355955479756
12162-0,6,31.5,95.75034,0.0,0.0,0.0,100.75034,5.0,0.0,30.75,0.0,1,3173.63571,0.0,3173.63571,97.45121545596535,787.5,300.0,-1.7008754559653596,1339.4394215727207,0.0,1339.4394215727207,4513.075131572721
12162-0,7,31.5,95.83386,0.0,0.0,0.0,100.83386,5.0,0.0,35.5,0.0,1,3176.26659,0.0,3176.26659,97.50915328172786,787.5,300.0,-1.6752932817278605,1319.2934593606901,0.0,1319.2934593606901,4495.560049360691
12162-0,8,30.27,95.81231,0.0,0.0,0.0,100.81231,5.0,0.0,40.25,0.0,1,3051.5886237,0.0,3051.5886237,97.48210871382048,756.75,300.0,-1.6697987138204837,1263.6201766836512,0.0,1263.6201766836512,4315.208800383651
12162-0,9,30.27,95.89652,0.0,0.0,0.0,100.89652,5.0,0.0,45.0,0.0,1,3054.1376603999997,0.0,3054.1376603999997,97.50569879721957,756.75,300.0,-1.6091787972195704,1217.74605479591,0.0,1217.74605479591,4271.88371519591
12162-0,10,35.31,95.68111,0.0,0.0,0.0,95.68111,0.0,0.0,45.0,0.0,0,3378.4999941000005,0.0,3378.4999941000005,97.47337395118984,882.75,300.0,-1.7922639511898382,1582.1210029128297,0.0,1582.1210029128297,4960.62099701283
12162-0,11,35.31,95.75868,0.0,0.0,0.0,95.75868,0.0,0.0,45.0,0.0,0,3381.2389908,0.0,3381.2389908,97.52449617238187,882.75,300.0,-1.765816172381875,1558.7742261701003,0.0,1558.7742261701003,4940.0132169701
12162-0,12,42.4,95.682625,0.0,0.0,0.0,95.682625,0.0,0.0,45.0,0.0,0,4056.9433,0.0,4056.9433,97.45709741607412,1060.0,300.0,-1.7744724160741185,1880.9407610385656,0.0,1880.9407610385656,5937.884061038565
12162-0,13,42.4,95.61912,0.0,0.0,0.0,95.61912,0.0,0.0,45.0,0.0,0,4054.2506879999996,0.0,4054.2506879999996,97.56459101509846,1060.0,300.0,-1.9454710150984624,2062.1992760043704,0.0,2062.1992760043704,6116.4499640043705
12162-0,14,41.16,95.70633,0.186,0.186,0.0,95.52032999999999,0.0,0.0,45.0,0.0,0,3931.6167827999993,0.0,3931.6167827999993,97.5233861728552,1029.0,300.0,-1.817056172855203,1869.750801868004,0.0,1869.750801868004,5801.3675846680035
12162-0,15,41.16,95.92621,0.186,0.186,0.0,95.74020999999999,0.0,0.0,45.0,0.0,0,3940.6670435999995,0.0,3940.6670435999995,97.40154557060264,1029.0,300.0,-1.4753355706026383,1518.1203021501149,0.0,1518.1203021501149,5458.787345750115
12162-0,16,51.64,95.88052,0.454,0.454,0.0,95.42652000000001,0.0,0.0,45.0,0.0,0,4927.825492800001,0.0,4927.825492800001,98.37782646272586,1291.0,300.0,-2.4973064627258594,3224.0226433790845,0.0,3224.0226433790845,8151.8481361790855
12162-0,17,51.64,95.952965,0.454,0.454,0.0,95.49896500000001,0.0,0.0,45.0,0.0,0,4931.5665526,0.0,4931.5665526,98.35418451019,1291.0,300.0,-2.401219510189989,3099.974387655276,0.0,3099.974387655276,8031.540940255276
12162-0,18,56.84,95.927895,0.637,0.637,0.0,90.290895,0.0,5.0,39.73684210526316,0.0,0,5132.134471800001,0.0,5132.134471800001,98.50656566016768,1421.0,300.0,-2.578670660167674,3664.2910080982647,0.0,3664.2910080982647,8796.425479898266
12162-0,19,56.84,96.03167,0.637,0.637,0.0,90.39467,0.0,5.0,34.473684210526315,0.0,0,5138.033042800001,0.0,5138.033042800001,98.4002754251162,1421.0,300.0,-2.3686054251162005,3365.788309090121,0.0,3365.788309090121,8503.821351890121
