12162-0,12163-0,12164-0,12165-0,12166-0,12167-0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.186,0.186,0.186,0.186,0.186,0.186
0.186,0.186,0.186,0.186,0.186,0.186
0.454,0.454,0.454,0.454,0.454,0.454
0.454,0.454,0.454,0.454,0.454,0.454
0.637,0.637,0.637,0.637,0.637,0.637
0.637,0.637,0.637,0.637,0.637,0.637
0.744,0.744,0.744,0.744,0.744,0.744
0.744,0.744,0.744,0.744,0.744,0.744
0.791,0.791,0.791,0.791,0.791,0.791
0.791,0.791,0.791,0.791,0.791,0.791
0.78,0.78,0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78,0.78,0.78
0.71,0.71,0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71,0.71,0.71
0.575,0.575,0.575,0.575,0.575,0.575
0.575,0.575,0.575,0.575,0.575,0.575
0.363,0.363,0.363,0.363,0.363,0.363
0.363,0.363,0.363,0.363,0.363,0.363
0.094,0.094,0.094,0.094,0.094,0.094
0.094,0.094,0.094,0.094,0.094,0.094
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
